time	V(pay)/(D(V(Vind,Vtr))/D(time)+10/280e-9*V(Vind,Vtr))	V(vtr)
5.051143276237661e-009	-1.360187e-008	2.207364e-001
5.057994209943476e-009	-2.194250e-008	2.168654e-001
5.065476910825955e-009	-3.420157e-008	2.142069e-001
5.073275419059558e-009	-5.200059e-008	2.123975e-001
5.082631189864255e-009	-7.260938e-008	2.109123e-001
5.093337311305047e-009	-9.436126e-008	2.096477e-001
5.107140286958412e-009	-1.118612e-007	2.083241e-001
5.124776079358902e-009	-1.259237e-007	2.068495e-001
5.150892292324755e-009	-1.407601e-007	2.049011e-001
5.191491361126662e-009	-1.610910e-007	2.022504e-001
5.261220297732596e-009	-1.941109e-007	1.984056e-001
5.345399153951989e-009	-2.418040e-007	1.946272e-001
5.443178380629475e-009	-3.085225e-007	1.912155e-001
5.561166084600996e-009	-4.119752e-007	1.881982e-001
5.709988608375992e-009	-6.176710e-007	1.856897e-001
5.886977737848495e-009	-9.978355e-007	1.841500e-001
6.111197418946585e-009	-2.311408e-006	1.838380e-001
6.384315525503113e-009	-5.093478e-006	1.850929e-001
6.736530727127532e-009	3.834049e-004	1.881977e-001
7.177843452648689e-009	1.803674e-006	1.929855e-001
7.703325775704014e-009	3.877445e-007	1.987874e-001
8.045299057848598e-009	4.515203e-007	2.022733e-001
8.278439878385224e-009	7.242569e-007	2.044009e-001
8.471484865033773e-009	9.916746e-007	2.060001e-001
8.644515340070667e-009	1.447422e-006	2.073209e-001
8.818601763134805e-009	3.355748e-006	2.085506e-001
9.035445299945106e-009	2.808244e-006	2.099684e-001
9.273815402229597e-009	3.370147e-006	2.114090e-001
9.542683727601968e-009	2.666724e-006	2.129117e-001
9.821365911775627e-009	5.050531e-006	2.143604e-001
1.013534234342591e-008	3.768262e-006	2.158934e-001
1.046465432732897e-008	9.326849e-006	2.174222e-001
1.083278179331640e-008	1.441003e-005	2.190665e-001
1.123124096230956e-008	-1.055147e-005	2.207977e-001
1.171095931396018e-008	9.941545e-007	2.228434e-001
1.211781498848780e-008	6.151940e-007	2.245578e-001
1.237728399766363e-008	9.582201e-007	2.256424e-001
1.257825579684600e-008	1.517376e-006	2.264779e-001
1.275627250734579e-008	1.775722e-006	2.272149e-001
1.291834408973407e-008	1.870068e-006	2.278833e-001
1.306394891334620e-008	2.479068e-006	2.284822e-001
1.321065900977569e-008	3.342936e-006	2.290834e-001
1.336718061788919e-008	5.933215e-006	2.297211e-001
1.355487395553538e-008	3.394226e-006	2.304822e-001
1.374952026178258e-008	3.923485e-006	2.312680e-001
1.396394623846144e-008	2.917628e-006	2.321286e-001
1.418148093413975e-008	2.821011e-006	2.329960e-001
1.440688662967852e-008	2.005098e-006	2.338887e-001
1.461759158453644e-008	2.050371e-006	2.347175e-001
1.480737543498848e-008	-1.463762e-005	2.354586e-001
1.504611598845454e-008	-1.321326e-006	2.363831e-001
1.541890751845602e-008	-9.902305e-007	2.378098e-001
1.598765310563099e-008	-1.334113e-005	2.399528e-001
1.660347470481065e-008	3.314743e-006	2.422300e-001
1.719766598104757e-008	-1.899270e-006	2.443786e-001
1.796324629884291e-008	-2.900786e-007	2.470829e-001
1.961887954337862e-008	1.004887e-006	2.526771e-001
2.076131271340938e-008	-1.687904e-007	2.563234e-001
2.304617905347090e-008	-3.430015e-007	2.631788e-001
2.581707171392312e-008	-2.785889e-007	2.708437e-001
2.903492569922759e-008	-7.598071e-008	2.787016e-001
3.547063366983652e-008	-9.157297e-008	2.917017e-001
4.600964375257203e-008	8.149881e-007	3.082067e-001
5.625284168859934e-008	4.829961e-007	3.198157e-001
6.644396297634841e-008	2.275415e-006	3.277308e-001
7.776008547486379e-008	6.731590e-007	3.337468e-001
8.819712660298305e-008	1.093110e-006	3.375445e-001
9.829259579496749e-008	3.651409e-006	3.400395e-001
1.089611240634895e-007	5.854354e-006	3.418410e-001
1.201574348794162e-007	1.032936e-005	3.431215e-001
1.319063291220143e-007	-7.580961e-006	3.439987e-001
1.471194623922440e-007	1.196707e-005	3.447101e-001
1.621847640527146e-007	-1.171140e-004	3.451224e-001
1.836876099390197e-007	-5.743925e-005	3.454728e-001
1.860993062649956e-007	-1.434748e-004	3.454920e-001
1.885110025909715e-007	1.198377e-003	3.455099e-001
1.909226989169474e-007	1.665756e-004	3.455266e-001
1.933343952429234e-007	1.171428e-004	3.455421e-001
1.957460915688993e-007	1.185621e-004	3.455563e-001
1.981577878948752e-007	1.755404e-004	3.455693e-001
2.005694842208511e-007	-4.942205e-005	3.455811e-001
2.050000000000000e-007	5.627130e-005	3.456000e-001
2.050054516393224e-007	-4.685090e-007	3.454830e-001
2.050163549179673e-007	-4.725868e-007	3.452509e-001
2.050248054870793e-007	-4.813226e-007	3.450735e-001
2.050331780141924e-007	-4.969510e-007	3.449013e-001
2.050499230684186e-007	-5.215911e-007	3.445679e-001
2.050834131768709e-007	-5.635980e-007	3.439377e-001
2.051434304984026e-007	-6.320526e-007	3.429075e-001
2.052223452951300e-007	-7.665833e-007	3.417383e-001
2.053335600215228e-007	-1.018576e-006	3.404256e-001
2.054715067180002e-007	-1.683789e-006	3.392911e-001
2.056527359112234e-007	-5.369576e-006	3.385302e-001
2.058746441673157e-007	4.035380e-006	3.385440e-001
2.061593851623129e-007	1.465718e-006	3.397965e-001
2.065159428534296e-007	8.366856e-007	3.429447e-001
2.069952140629740e-007	5.186205e-007	3.498625e-001
2.076992160254725e-007	3.350728e-007	3.659323e-001
2.082280776730297e-007	1.901079e-007	3.865801e-001
2.086233708290836e-007	1.057508e-007	4.144269e-001
2.089075358888973e-007	5.827960e-008	4.507039e-001
2.091195722211906e-007	3.235070e-008	4.994669e-001
